id,name,display_desc,category,location,img,name_short,category_corrected
4778,Chicken Club - Milk Allergy-friendly,"served with Coleslaw and choice of Green Beans,Apple Slices or French Fries",Entree,Columbia Harbor House,sandwich_chicken_club.jpg,Chicken Club,
4779,BBQ Ribs Platter - Milk Allergy-friendly,"served with Coleslaw and choice of Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,Ribs.png,BBQ Ribs Platter,
4780,1/3 lb Angus Bacon Cheeseburger - Peanut/Tree Nut Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg,1/3 lb Angus Bacon Cheeseburger,
4781,1/3 lb Angus Cheeseburger - Peanut/Tree Nut Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_cheeseburger.jpeg,1/3 lb Angus Cheeseburger,
4783,Chicken Breast Strips - Peanut/Tree Nut Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,fried_chicken-strips.png,Chicken Strips,
4784,Chicken Club - Peanut/Tree Nut Allergy-friendly,"served with Coleslaw and choice of Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,sandwich_chicken_club.jpg,Chicken Club,
4786,"Shrimp, Fish, and Chicken Platter - Peanut/Tree Nut Allergy-friendly",served with Coleslaw and French Fries,Entree,Columbia Harbor House,fried_shrimp_fish_chicken.png,"Shrimp, Fish, & Chicken Platter",
4788,Shrimp Platter - Peanut/Tree Nut Allergy-friendly,served with Coleslaw and French Fries,Entree,Columbia Harbor House,fried_shrimp.png,Shrimp Platter,
4789,1/3 lb Angus Bacon Cheeseburger - Gluten/Wheat Allergy-friendly,served on an Allergy-friendly Bun with your choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg,1/3 lb Angus Bacon Cheeseburger,
4790,Vegan Burger - Gluten/Wheat Allergy-friendly,served on an Allergy-friendly Bun with your choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,burger_vegan.png,Vegan Burger,
4791,BBQ Ribs Platter - Gluten/Wheat Allergy-friendly,served with Coleslaw and choice of Steak Fries or Apple Slices,Entree,Columbia Harbor House,Ribs.png,BBQ Ribs Platter,
4792,Braised Beef and Enchilada Platter - Gluten/Wheat Allergy-friendly,served with a Roasted Corn and Cheese Enchilada,Entree,Columbia Harbor House,mex_beef_enchiladas.jpeg,Braised Beef & Enchilada Platter,
4793,Mediterranean Salad with Chicken - Gluten/Wheat Allergy-friendly,tossed in a Mediterranean Vinaigrette and served with Hummus,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png,Chicken Mediterranean Salad,
